job_title,experience_level,employment_type,salary,company_location,num_skills,is_data_scientist,is_developer,is_analyst,interst_area,burnout_risk
Data Engineer,MI,FT,149600,US,6,0,0,0,healthcare,medium
Data Engineer,MI,FT,102000,US,9,0,0,0,webdev,low
Data Analyst,MI,FT,97361,GB,5,0,0,0,finance,low
Data Analyst,MI,FT,48680,GB,5,0,0,0,cybersecurity,high
Data Engineer,SE,FT,252000,US,3,0,0,0,finance,low
Data Engineer,SE,FT,129000,US,5,0,0,0,cybersecurity,low
Data Analyst,SE,FT,95000,US,5,0,0,0,cybersecurity,low
Data Analyst,SE,FT,85500,US,3,0,0,0,finance,high
Data Analyst,SE,FT,185900,US,5,0,0,0,cybersecurity,low
Data Analyst,SE,FT,121700,US,7,0,0,0,cybersecurity,low
Research Scientist,EN,FT,150000,US,4,0,0,0,webdev,low
Research Scientist,EN,FT,100000,US,9,0,0,0,healthcare,low
Data Engineer,MI,FT,145000,US,4,0,0,0,healthcare,low
Data Engineer,MI,FT,125000,US,3,0,0,0,webdev,medium
Data Scientist,MI,FT,150000,US,6,1,0,0,finance,high
Data Scientist,MI,FT,97750,US,9,1,0,0,AI,low
Data Scientist,SE,FT,201000,US,3,1,0,0,AI,low
Data Scientist,SE,FT,122000,US,6,1,0,0,AI,low
Data Engineer,SE,FT,252000,US,4,0,0,0,webdev,low
Data Engineer,SE,FT,129000,US,3,0,0,0,webdev,medium
Data Analyst,SE,FT,120000,US,9,0,0,0,cybersecurity,low
Data Analyst,SE,FT,75000,US,9,0,0,0,AI,low
Data Scientist,MI,FT,116990,US,8,1,0,0,finance,medium
Data Scientist,MI,FT,82920,US,7,1,0,0,finance,low
Data Scientist,SE,FT,185900,US,5,1,0,0,AI,medium
Data Scientist,SE,FT,129300,US,6,1,0,0,AI,low
Machine Learning Scientist,MI,FT,200000,US,8,0,0,0,AI,medium
Machine Learning Scientist,MI,FT,125000,US,5,0,0,0,webdev,high
Data Scientist,SE,FT,201000,US,5,1,0,0,webdev,medium
Data Scientist,SE,FT,122000,US,3,1,0,0,webdev,high
Machine Learning Engineer,SE,FT,204500,US,5,0,0,0,healthcare,low
Machine Learning Engineer,SE,FT,142200,US,7,0,0,0,finance,low
Data Manager,SE,FT,155000,US,9,0,0,0,finance,medium
Data Manager,SE,FT,140000,US,8,0,0,0,cybersecurity,low
Machine Learning Infrastructure Engineer,MI,FT,205920,US,5,0,0,0,webdev,low
Machine Learning Infrastructure Engineer,MI,FT,171600,US,3,0,0,0,healthcare,low
Data Engineer,SE,FT,121500,US,7,0,0,0,healthcare,low
Data Engineer,SE,FT,78000,US,4,0,0,0,finance,low
Data Engineer,MI,FT,154000,US,9,0,0,0,webdev,low
Data Engineer,MI,FT,116000,US,9,0,0,0,cybersecurity,medium
Data Scientist,SE,FT,190000,US,8,1,0,0,webdev,low
Data Scientist,SE,FT,136000,US,9,1,0,0,AI,low
Data Analyst,MI,FT,79106,GB,5,0,0,0,webdev,low
Data Analyst,MI,FT,43873,GB,3,0,0,0,AI,low
Data Analyst,SE,FT,180000,US,9,0,0,0,AI,medium
Data Analyst,SE,FT,110000,US,9,0,0,0,cybersecurity,low
Data Scientist,SE,FT,275300,US,4,1,0,0,finance,low
Data Scientist,SE,FT,183000,US,4,1,0,0,webdev,medium
Data Engineer,SE,FT,170000,US,6,0,0,0,AI,low
Data Engineer,SE,FT,140000,US,7,0,0,0,webdev,low
Data Engineer,SE,FT,154000,US,5,0,0,0,finance,low
Data Engineer,SE,FT,116000,US,9,0,0,0,finance,high
Data Engineer,SE,FT,160000,US,9,0,0,0,healthcare,low
Data Engineer,SE,FT,130000,US,3,0,0,0,finance,low
Data Engineer,MI,FT,200000,US,6,0,0,0,cybersecurity,low
Data Engineer,MI,FT,120000,US,7,0,0,0,AI,low
Data Scientist,SE,FT,175000,US,6,1,0,0,healthcare,low
Data Scientist,SE,FT,160000,US,8,1,0,0,cybersecurity,low
Data Engineer,MI,FT,127787,GB,7,0,0,0,webdev,low
Data Engineer,MI,FT,103446,GB,9,0,0,0,AI,high
Data Engineer,SE,FT,153600,US,9,0,0,0,finance,medium
Data Engineer,SE,FT,106800,US,7,0,0,0,AI,low
Data Analyst,EN,FT,85000,US,9,0,0,0,webdev,medium
Data Analyst,EN,FT,75000,US,5,0,0,0,healthcare,low
Data Scientist,SE,FT,225000,US,7,1,0,0,healthcare,low
Data Scientist,SE,FT,156400,US,6,1,0,0,healthcare,medium
Analytics Engineer,SE,FT,150000,US,7,0,0,0,finance,medium
Analytics Engineer,SE,FT,120000,US,9,0,0,0,cybersecurity,medium
Machine Learning Engineer,SE,FT,163800,US,5,0,0,0,cybersecurity,low
Machine Learning Engineer,SE,FT,126000,US,5,0,0,0,AI,high
Data Analyst,SE,FT,145000,US,8,0,0,0,finance,low
Data Analyst,SE,FT,90000,US,6,0,0,0,healthcare,medium
Machine Learning Engineer,SE,FT,204500,US,4,0,0,0,healthcare,high
Machine Learning Engineer,SE,FT,142200,US,4,0,0,0,webdev,low
Data Analyst,SE,FT,95000,US,7,0,0,0,webdev,medium
Data Analyst,SE,FT,85500,US,8,0,0,0,healthcare,low
Data Engineer,SE,FT,167500,US,3,0,0,0,healthcare,low
Data Engineer,SE,FT,106500,US,7,0,0,0,finance,low
Data Engineer,SE,FT,163800,US,8,0,0,0,cybersecurity,low
Data Engineer,SE,FT,126000,US,6,0,0,0,webdev,high
Data Analytics Manager,MI,FT,155000,US,6,0,0,0,cybersecurity,medium
Data Analytics Manager,MI,FT,140000,US,6,0,0,0,finance,low
Research Scientist,SE,FT,250000,US,6,0,0,0,healthcare,medium
Research Scientist,SE,FT,200000,US,6,0,0,0,cybersecurity,high
Data Scientist,SE,FT,260000,US,8,1,0,0,healthcare,low
Data Scientist,SE,FT,186000,US,8,1,0,0,healthcare,high
Data Engineer,SE,FT,160000,US,5,0,0,0,AI,low
Data Engineer,SE,FT,130000,US,4,0,0,0,cybersecurity,medium
Research Scientist,SE,FT,200000,US,9,0,0,0,cybersecurity,low
Research Scientist,SE,FT,150000,US,6,0,0,0,healthcare,low
Data Scientist,SE,FT,48426,ES,3,1,0,0,finance,low
Data Scientist,SE,FT,38741,ES,9,1,0,0,AI,medium
Data Scientist,SE,FT,150000,US,8,1,0,0,healthcare,low
Data Scientist,SE,FT,120000,US,3,1,0,0,webdev,low
Data Analyst,EN,FT,30000,IN,3,0,0,0,webdev,low
Research Scientist,MI,FT,185000,US,3,0,0,0,AI,high
Research Scientist,MI,FT,125000,US,5,0,0,0,finance,low
Data Analyst,EN,PT,34320,US,8,0,0,0,healthcare,low
Business Data Analyst,MI,FT,9289,BR,3,0,0,0,cybersecurity,low
Head of Data,SE,FT,75330,PT,6,0,0,0,AI,low
Data Science Manager,EX,FT,106000,RU,7,0,0,0,finance,medium
Data Analyst,SE,FT,175000,US,3,0,0,0,cybersecurity,medium
Data Analyst,SE,FT,130000,US,5,0,0,0,webdev,low
Data Analyst,SE,FT,122000,US,9,0,0,0,webdev,low
Data Analyst,SE,FT,93800,US,8,0,0,0,cybersecurity,medium
Data Science Manager,SE,FT,150000,MX,5,0,0,0,AI,low
Data Science Manager,SE,FT,90000,MX,3,0,0,0,webdev,medium
Data Analyst,SE,FT,165000,US,8,0,0,0,healthcare,medium
Data Analyst,SE,FT,112000,US,7,0,0,0,cybersecurity,medium
Computer Vision Engineer,EN,FT,220000,US,3,0,0,0,cybersecurity,low
BI Data Analyst,SE,FT,72101,DE,5,0,0,0,webdev,low
AI Developer,EN,FT,64568,DE,4,0,1,0,AI,high
Machine Learning Engineer,SE,FT,204500,US,6,0,0,0,healthcare,low
Machine Learning Engineer,SE,FT,142200,US,9,0,0,0,AI,medium
Data Analyst,SE,FT,15827,IN,5,0,0,0,finance,low
Machine Learning Engineer,MI,FT,200000,US,8,0,0,0,finance,medium
Machine Learning Engineer,MI,FT,175000,US,3,0,0,0,webdev,low
Data Engineer,SE,FT,185900,US,6,0,0,0,webdev,low
Data Engineer,SE,FT,129300,US,3,0,0,0,webdev,low
Data Analyst,SE,FT,185900,US,8,0,0,0,finance,medium
Data Analyst,SE,FT,121700,US,3,0,0,0,AI,medium
Machine Learning Engineer,SE,FT,204500,US,4,0,0,0,AI,low
Machine Learning Engineer,SE,FT,142200,US,6,0,0,0,webdev,low
Data Scientist,MI,FT,40000,FR,6,1,0,0,healthcare,medium
Data Science Consultant,SE,FT,29865,TH,8,0,0,0,AI,low
Data Analyst,SE,FT,180180,US,9,0,0,0,finance,low
Data Analyst,SE,FT,106020,US,4,0,0,0,cybersecurity,low
Data Scientist,SE,FT,136000,US,5,1,0,0,cybersecurity,low
Data Scientist,SE,FT,104000,US,3,1,0,0,cybersecurity,low
Data Analyst,SE,FT,125000,US,7,0,0,0,healthcare,low
Data Analyst,SE,FT,110000,US,3,0,0,0,webdev,low
Machine Learning Engineer,SE,FT,153400,US,3,0,0,0,finance,low
Machine Learning Engineer,SE,FT,122700,US,5,0,0,0,healthcare,low
Data Engineer,EX,FT,310000,US,3,0,0,0,finance,low
Data Engineer,EX,FT,239000,US,4,0,0,0,finance,low
Data Analyst,SE,FT,152380,US,4,0,0,0,webdev,medium
Data Analyst,SE,FT,121904,US,6,0,0,0,cybersecurity,low
Data Scientist,SE,FT,185900,US,8,1,0,0,webdev,low
Data Scientist,SE,FT,129300,US,9,1,0,0,healthcare,low
Machine Learning Engineer,SE,FT,247500,US,7,0,0,0,healthcare,low
Machine Learning Engineer,SE,FT,172200,US,3,0,0,0,healthcare,low
Data Architect,SE,FT,168400,US,3,0,0,0,webdev,low
Data Architect,SE,FT,105200,US,5,0,0,0,finance,medium
Machine Learning Engineer,SE,FT,128280,US,8,0,0,0,finance,low
Machine Learning Engineer,SE,FT,106900,US,4,0,0,0,AI,high
Lead Data Scientist,SE,FT,192000,US,7,1,0,0,healthcare,low
Data Engineer,MI,FT,140000,US,6,0,0,0,finance,low
Data Engineer,MI,FT,100000,US,4,0,0,0,AI,low
Research Engineer,SE,FT,107614,DE,8,0,0,0,finance,low
Research Engineer,SE,FT,86091,DE,9,0,0,0,healthcare,low
Machine Learning Engineer,SE,FT,275000,DE,6,0,0,0,cybersecurity,medium
Machine Learning Engineer,SE,FT,174000,DE,9,0,0,0,healthcare,low
Data Engineer,SE,FT,139500,US,5,0,0,0,webdev,high
Data Engineer,SE,FT,109400,US,5,0,0,0,finance,medium
Machine Learning Engineer,SE,FT,139500,US,3,0,0,0,finance,low
Machine Learning Engineer,SE,FT,109400,US,9,0,0,0,webdev,low
Data Analyst,SE,FT,170500,US,8,0,0,0,webdev,low
Data Analyst,SE,FT,85000,US,7,0,0,0,cybersecurity,low
Data Manager,SE,FT,73054,GB,6,0,0,0,finance,low
Data Manager,SE,FT,54445,GB,4,0,0,0,finance,low
Head of Data Science,EX,FT,160524,GB,8,0,0,0,cybersecurity,low
Head of Data Science,EX,FT,127654,GB,8,0,0,0,AI,low
Data Engineer,SE,FT,80000,US,5,0,0,0,cybersecurity,high
Data Engineer,SE,FT,65000,US,9,0,0,0,healthcare,medium
Data Engineer,SE,FT,124740,US,3,0,0,0,finance,high
Data Engineer,SE,FT,65488,US,3,0,0,0,webdev,low
Data Quality Analyst,SE,FT,72200,US,6,0,0,0,healthcare,low
Data Quality Analyst,SE,FT,64980,US,5,0,0,0,finance,low
Data Engineer,SE,FT,153600,US,8,0,0,0,cybersecurity,low
Data Engineer,SE,FT,106800,US,7,0,0,0,healthcare,low
Data Analyst,SE,FT,179975,US,5,0,0,0,finance,medium
Data Analyst,SE,FT,86466,US,6,0,0,0,AI,medium
Data Engineer,SE,FT,120000,US,6,0,0,0,AI,low
Data Engineer,SE,FT,90000,US,5,0,0,0,webdev,low
Insight Analyst,MI,FT,51114,GB,6,0,0,0,finance,low
Insight Analyst,MI,FT,42595,GB,5,0,0,0,AI,low
Data Scientist,SE,FT,149076,US,4,1,0,0,cybersecurity,low
Data Scientist,SE,FT,82365,US,5,1,0,0,finance,low
Data Analyst,SE,FT,169000,US,9,0,0,0,cybersecurity,low
Data Analyst,SE,FT,110600,US,5,0,0,0,cybersecurity,high
Data Science Manager,SE,FT,175000,US,6,0,0,0,AI,low
Data Science Manager,SE,FT,120000,US,9,0,0,0,finance,medium
Data Analyst,SE,FT,230000,US,6,0,0,0,healthcare,low
Data Analyst,SE,FT,180000,US,3,0,0,0,AI,low
Data Analyst,SE,FT,153600,US,3,0,0,0,AI,low
Data Analyst,SE,FT,106800,US,9,0,0,0,finance,low
Data Manager,SE,FT,140000,US,4,0,0,0,finance,low
Data Manager,SE,FT,120000,US,3,0,0,0,cybersecurity,medium
Machine Learning Infrastructure Engineer,SE,FT,205920,US,5,0,0,0,finance,medium
Machine Learning Infrastructure Engineer,SE,FT,171600,US,6,0,0,0,cybersecurity,low
Data Analyst,SE,FT,165000,US,3,0,0,0,AI,low
Data Analyst,SE,FT,125000,US,3,0,0,0,webdev,high
Data Engineer,SE,FT,265000,US,4,0,0,0,healthcare,low
Data Engineer,SE,FT,185000,US,9,0,0,0,AI,low
Applied Machine Learning Engineer,MI,FT,130000,US,9,0,0,0,finance,low
Data Scientist,EN,FT,168000,US,8,1,0,0,healthcare,medium
AI Scientist,MI,FT,38741,ES,4,0,0,0,webdev,high
Data Analyst,SE,FT,95000,US,5,0,0,0,webdev,low
Data Analyst,SE,FT,85500,US,9,0,0,0,cybersecurity,medium
Data Scientist,SE,FT,147100,US,6,1,0,0,healthcare,medium
Data Scientist,SE,FT,90700,US,4,1,0,0,cybersecurity,low
Data Engineer,SE,FT,167580,US,3,0,0,0,AI,low
Data Engineer,SE,FT,87980,US,6,0,0,0,healthcare,low
Data Engineer,SE,FT,202000,US,6,0,0,0,AI,high
Data Engineer,SE,FT,135000,US,3,0,0,0,cybersecurity,low
Data Engineer,SE,FT,163800,US,4,0,0,0,healthcare,medium
Data Engineer,SE,FT,126000,US,3,0,0,0,cybersecurity,low
Machine Learning Engineer,SE,FT,163800,US,8,0,0,0,healthcare,medium
Machine Learning Engineer,SE,FT,126000,US,6,0,0,0,cybersecurity,low
Data Engineer,SE,FT,104000,US,7,0,0,0,webdev,low
Data Engineer,SE,FT,65000,US,7,0,0,0,cybersecurity,medium
Research Engineer,SE,FT,230000,US,5,0,0,0,webdev,medium
Research Engineer,SE,FT,148000,US,9,0,0,0,cybersecurity,medium
Machine Learning Engineer,SE,FT,269000,CA,3,0,0,0,healthcare,low
Machine Learning Engineer,SE,FT,158000,CA,3,0,0,0,healthcare,medium
Analytics Engineer,SE,FT,197000,US,5,0,0,0,healthcare,low
Analytics Engineer,SE,FT,106000,US,5,0,0,0,finance,low
Deep Learning Engineer,MI,FT,150000,US,5,0,0,0,AI,low
Deep Learning Engineer,MI,FT,100000,US,6,0,0,0,healthcare,low
Data Engineer,SE,FT,290000,US,8,0,0,0,webdev,low
Data Engineer,SE,FT,210000,US,3,0,0,0,healthcare,high
Data Engineer,SE,FT,192000,US,6,0,0,0,finance,low
Data Engineer,SE,FT,172800,US,5,0,0,0,webdev,medium
Data Scientist,SE,FT,300240,US,3,1,0,0,finance,low
Data Scientist,SE,FT,200160,US,6,1,0,0,webdev,low
Data Scientist,SE,FT,300240,US,8,1,0,0,cybersecurity,low
Data Scientist,SE,FT,200160,US,6,1,0,0,AI,high
Analytics Engineer,SE,FT,175000,US,8,0,0,0,AI,medium
Analytics Engineer,SE,FT,140000,US,5,0,0,0,finance,high
Data Manager,SE,FT,169000,US,8,0,0,0,AI,high
Data Manager,SE,FT,100000,US,3,0,0,0,finance,low
Data Scientist,SE,FT,370000,US,5,1,0,0,finance,low
Data Scientist,SE,FT,245000,US,3,1,0,0,finance,medium
Data Engineer,MI,FT,115617,GB,7,0,0,0,AI,low
Data Analyst,SE,FT,110000,US,4,0,0,0,finance,low
Data Analyst,SE,FT,80000,US,8,0,0,0,AI,low
Data Analyst,EN,FT,55000,US,4,0,0,0,finance,low
Data Analyst,EN,FT,48000,US,4,0,0,0,healthcare,low
Data Analyst,SE,FT,95000,US,8,0,0,0,finance,low
Data Analyst,SE,FT,85000,US,5,0,0,0,webdev,low
Data Engineer,SE,FT,137500,US,7,0,0,0,finance,low
Data Engineer,SE,FT,81500,US,3,0,0,0,cybersecurity,low
Machine Learning Engineer,SE,FT,323300,US,6,0,0,0,finance,low
Machine Learning Engineer,SE,FT,184700,US,3,0,0,0,webdev,medium
AI Scientist,MI,FT,30000,GH,6,0,0,0,webdev,low
Machine Learning Engineer,SE,FT,186000,US,3,0,0,0,AI,low
Machine Learning Engineer,SE,FT,153088,US,8,0,0,0,healthcare,medium
Data Infrastructure Engineer,MI,FT,190000,US,7,0,0,0,finance,low
Data Infrastructure Engineer,MI,FT,160000,US,6,0,0,0,AI,low
Machine Learning Engineer,SE,FT,200000,US,9,0,0,0,healthcare,medium
Machine Learning Engineer,SE,FT,150000,US,5,0,0,0,finance,low
Data Infrastructure Engineer,MI,FT,190000,US,3,0,0,0,cybersecurity,medium
Data Infrastructure Engineer,MI,FT,183310,US,3,0,0,0,finance,medium
Machine Learning Engineer,SE,FT,240000,US,6,0,0,0,webdev,medium
Machine Learning Engineer,SE,FT,180000,US,5,0,0,0,webdev,low
Machine Learning Engineer,SE,FT,200000,US,5,0,0,0,cybersecurity,low
Machine Learning Engineer,SE,FT,150000,US,8,0,0,0,AI,low
Data Science Manager,SE,FT,299500,US,9,0,0,0,healthcare,low
Data Science Manager,SE,FT,245100,US,8,0,0,0,finance,low
Data Engineer,SE,FT,144000,US,8,0,0,0,webdev,low
Data Engineer,SE,FT,66000,US,8,0,0,0,AI,low
Machine Learning Engineer,MI,FT,148500,US,8,0,0,0,cybersecurity,low
Machine Learning Engineer,MI,FT,126277,US,8,0,0,0,webdev,low
Data Architect,SE,FT,228000,US,7,0,0,0,cybersecurity,low
Data Architect,SE,FT,120000,US,5,0,0,0,finance,medium
Machine Learning Software Engineer,SE,FT,180000,US,8,0,0,0,healthcare,low
Machine Learning Software Engineer,SE,FT,90000,US,5,0,0,0,webdev,low
Data Scientist,SE,FT,126500,US,5,1,0,0,webdev,high
Data Scientist,SE,FT,78000,US,4,1,0,0,finance,low
Data Engineer,SE,FT,180000,US,7,0,0,0,AI,low
Data Engineer,SE,FT,160000,US,8,0,0,0,healthcare,low
Machine Learning Software Engineer,SE,FT,272000,US,3,0,0,0,webdev,medium
Machine Learning Software Engineer,SE,FT,170000,US,6,0,0,0,healthcare,low
Data Analyst,MI,FT,80000,US,9,0,0,0,webdev,low
Data Analyst,MI,FT,60000,US,3,0,0,0,healthcare,low
Data Engineer,SE,FT,259000,US,7,0,0,0,cybersecurity,medium
Data Engineer,SE,FT,146000,US,6,0,0,0,webdev,low
Data Engineer,SE,FT,200000,US,7,0,0,0,healthcare,low
Data Engineer,SE,FT,160000,US,5,0,0,0,AI,medium
Data Engineer,EX,FT,310000,US,6,0,0,0,cybersecurity,low
Data Engineer,EX,FT,239000,US,5,0,0,0,cybersecurity,medium
Data Analyst,SE,FT,142000,US,3,0,0,0,AI,low
Data Analyst,SE,FT,95000,US,3,0,0,0,healthcare,medium
Data Scientist,SE,FT,155000,US,6,1,0,0,finance,low
Data Scientist,SE,FT,139500,US,6,1,0,0,AI,medium
Data Engineer,MI,FT,140000,US,8,0,0,0,healthcare,high
